r2AssetId,r2PublicUrl,originalFilename,videoId,languageId,edition,version,missingMuxVideoId,muxStatus,muxErrorMessage
d04b7374-b8f3-4532-8b05-5061c769f732,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/21231/videos/c2662b2e-c67c-41ff-b362-6d0ff9a85774/21231_1_wl60-0-0.mp4,1_wl60-0-0---WL60---21231---33965---0---0.mp4,1_wl60-0-0,21231,wl60,33965,true,,
9bae316b-9554-48a1-9c4c-b33516a3cee1,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/5699/videos/86cc28c7-efbe-4ed7-aca9-e99ae5c60dbe/5699_1_wl60-0-0.mp4,1_wl60-0-0---WL60---5699---32894---0---0.mp4,1_wl60-0-0,5699,wl60,32894,true,,
ee80a0eb-fd8d-49f2-814c-85c81b165cd7,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/18606/videos/854b54fe-980d-4ac1-a0d9-c2ccf1a0784e/18606_1_wl60-0-0.mp4,1_wl60-0-0---WL60_RPC---18606---32752---0---0.mp4,1_wl60-0-0,18606,wl60_rpc,32752,true,,
4a4d8e4b-7cd5-4bc4-be50-5fd4353bbbed,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/184455/videos/62e78cd7-506e-4205-9209-6a3b59a2b7ed/184455_1_wl60-0-0.mp4,1_wl60-0-0---WL60_RPC---184455---32737---0---0.mp4,1_wl60-0-0,184455,wl60_rpc,32737,true,,
3f19733b-40c8-4981-8564-cc21ff885fb9,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/7698/videos/69f05062-eeab-491f-a2c7-9fde19345296/7698_1_wl60-0-0.mp4,1_wl60-0-0---WL60---7698---33450---0---0.mp4,1_wl60-0-0,7698,wl60,33450,true,,
a2ec09aa-fdc8-45ab-88c6-040a8ec9aef7,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/14226/videos/59373a63-2d5b-4321-83da-0013d8cd5f99/14226_1_wl60-0-0.mp4,1_wl60-0-0---WL60---14226---33718---0---0.mp4,1_wl60-0-0,14226,wl60,33718,true,,
173a06a1-33d1-4abb-87b9-e3aa1ae52b15,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/98730/videos/492650c7-8eb8-40b7-8ad0-14291646cc69/98730_1_wl60-0-0.mp4,1_wl60-0-0---WL60---98730---33674---0---0.mp4,1_wl60-0-0,98730,wl60,33674,true,,
a7c3bc36-66e6-4657-a626-1a0c3e32e47e,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/184854/videos/a57b1f9c-6f02-443c-9724-50e4f8091669/184854_1_wl60-0-0.mp4,1_wl60-0-0---WL60---184854---33613---0---0.mp4,1_wl60-0-0,184854,wl60,33613,true,,
0781af69-8ad1-42a3-8b78-799323cffe6e,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/13805/videos/00e3cf82-1f19-473f-9cbd-d487655fbf15/13805_1_wl60-0-0.mp4,1_wl60-0-0---WL60---13805---33608---0---0.mp4,1_wl60-0-0,13805,wl60,33608,true,,
1b706899-e67e-40ae-9ee5-51eedfcf8216,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/3892/videos/164618b9-22e2-4fbe-afae-4f17050634b3/3892_1_wl60-0-0.mp4,1_wl60-0-0---WL60_RPC---3892---33020---0---0.mp4,1_wl60-0-0,3892,wl60_rpc,33020,true,,
1563a12f-88ad-452e-a36a-3907bf356d7a,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/16064/videos/b6679485-da10-43fc-8da0-73c9fd53d011/16064_1_wl60-0-0.mp4,1_wl60-0-0---WL60---16064---32729---0---0.mp4,1_wl60-0-0,16064,wl60,32729,true,,
bbcc10ed-1d21-46c7-b94b-800c06016b09,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/3892/videos/a10d3393-3743-4848-a1c7-acabd336aa0d/3892_1_wl60-0-0.mp4,1_wl60-0-0---WL60_RPC---3892---33020---0---0.mp4,1_wl60-0-0,3892,wl60_rpc,33020,true,,
020ae6c4-24bb-4cea-8592-4098655e193b,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/184701/videos/03a6e1f5-9aa0-4b78-a449-1fcfcf318834/184701_1_wl60-0-0.mp4,1_wl60-0-0---WL60---184701---33053---0---0.mp4,1_wl60-0-0,184701,wl60,33053,true,,
55b69d23-eae4-4f87-9c33-c1a66a30616f,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/153550/videos/e543cc1b-4f99-4efd-846c-1993b3ca8dc7/153550_1_wl60-0-0.mp4,1_wl60-0-0---WL60---153550---32816---0---0.mp4,1_wl60-0-0,153550,wl60,32816,true,,
b694bd68-dfc8-4a61-acff-5c31bcbc710f,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/5603/videos/7bf73cdb-362d-43c7-9d6b-828f4740d308/5603_1_wl60-0-0.mp4,1_wl60-0-0---WL60---5603---32892---0---0.mp4,1_wl60-0-0,5603,wl60,32892,true,,
a76a7947-74d2-4740-9d40-aceee1ca5304,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/7773/videos/fd760445-73b2-49a4-813d-194131953b2d/7773_1_wl60-0-0.mp4,1_wl60-0-0---WL60---7773---32819---0---0.mp4,1_wl60-0-0,7773,wl60,32819,true,,
d6aeed3e-d640-4c27-a78d-ae0122da0310,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/14278/videos/a4c207d2-f52b-4a26-81ae-efd94355ef7a/14278_1_wl60-0-0.mp4,1_wl60-0-0---WL60---14278---32900---0---0.mp4,1_wl60-0-0,14278,wl60,32900,true,,
28a8a5a4-2a4e-452f-94fc-ed396efaca65,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/53418/videos/1e4f9cb8-bdbc-44b6-9b7e-b855d973cf29/53418_1_wl60-0-0.mp4,1_wl60-0-0---WL60---53418---32905---0---0.mp4,1_wl60-0-0,53418,wl60,32905,true,,
